task_id,round_in_task,global_round,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,loss
0,1,1,2.47,2.47,18.0,12.45,2.47,17.3,2.47,2.47,1.93,0.7,2.3767
0,2,2,0.04,0.04,18.61,17.92,0.04,16.67,0.04,0.04,0.01,0.0,1.6974
0,3,3,0.04,0.04,0.01,0.0,0.04,16.67,0.04,0.04,0.01,0.0,5.4136
0,4,4,0.04,0.04,0.01,0.0,0.04,16.67,0.04,0.04,0.01,0.0,2.7
0,5,5,34.0,34.0,5.67,11.56,34.0,16.67,34.0,34.0,8.46,17.26,2.9945
0,6,6,34.0,34.0,5.67,11.56,34.0,16.67,34.0,34.0,8.46,17.26,1.4227
0,7,7,34.0,34.0,5.67,11.56,34.0,16.67,34.0,34.0,8.46,17.26,3.4066
0,8,8,2.15,2.15,0.36,0.05,2.15,16.67,2.15,2.15,0.7,0.09,2.9135
0,9,9,34.0,34.0,5.67,11.56,34.0,16.67,34.0,34.0,8.46,17.26,4.3826
0,10,10,34.0,34.0,5.67,11.56,34.0,16.67,34.0,34.0,8.46,17.26,3.0573
0,11,11,34.0,34.0,5.67,11.56,34.0,16.67,34.0,34.0,8.46,17.26,4.2909
0,12,12,2.15,2.15,0.36,0.05,2.15,16.67,2.15,2.15,0.7,0.09,2.106
0,13,13,34.0,34.0,5.67,11.56,34.0,16.67,34.0,34.0,8.46,17.26,3.4686
0,14,14,34.0,34.0,5.67,11.56,34.0,16.67,34.0,34.0,8.46,17.26,1.4094
0,15,15,34.0,34.0,5.67,11.56,34.0,16.67,34.0,34.0,8.46,17.26,4.2537
0,16,16,34.01,34.01,5.8,11.88,34.01,16.67,34.01,34.01,8.55,17.45,2.0862
0,17,17,34.08,34.08,32.83,55.71,34.08,16.83,34.08,34.08,8.78,17.43,2.5062
0,18,18,88.47,88.47,44.87,86.1,88.47,33.42,88.47,88.47,31.4,83.2,0.6625
0,19,19,35.22,35.22,25.46,20.29,35.22,25.96,35.22,35.22,16.06,19.35,1.3813
0,20,20,88.47,88.47,45.76,86.32,88.47,34.27,88.47,88.47,32.43,83.41,0.8189
0,21,21,34.02,34.02,20.68,18.96,34.02,16.7,34.02,34.02,8.52,17.29,3.5706
0,22,22,34.01,34.01,20.11,19.17,34.01,16.67,34.01,34.01,8.7,17.75,1.9918
0,23,23,35.52,35.52,36.79,21.86,35.52,34.51,35.52,35.52,21.51,19.36,2.2767
0,24,24,88.2,88.2,45.72,86.82,88.2,33.24,88.2,88.2,30.96,82.95,1.0322
0,25,25,34.01,34.01,18.92,17.93,34.01,16.67,34.01,34.01,8.47,17.26,3.7433
0,26,26,97.85,97.85,79.52,97.85,97.85,65.15,97.85,97.85,69.53,97.53,0.2653
0,27,27,98.89,98.89,80.1,98.87,98.89,68.56,98.89,98.89,70.1,98.61,0.249
0,28,28,99.14,99.14,79.12,99.05,99.14,72.83,99.14,99.14,74.76,99.01,0.1286
0,29,29,99.34,99.34,80.71,99.29,99.34,75.54,99.34,99.34,77.41,99.27,0.0988
0,30,30,99.4,99.4,81.1,99.36,99.4,76.2,99.4,99.4,78.03,99.34,0.0869
1,1,31,50.8,50.8,18.63,38.74,50.8,26.88,50.8,50.8,20.0,41.54,2.571
1,2,32,21.7,21.7,12.14,9.84,21.7,24.91,21.7,21.7,10.45,8.38,3.197
1,3,33,21.13,21.13,5.07,10.42,21.13,13.42,21.13,21.13,7.02,13.93,2.2916
1,4,34,21.32,21.32,11.65,18.23,21.32,17.89,21.32,21.32,7.74,8.87,2.9039
1,5,35,55.83,55.83,24.9,46.13,55.83,40.41,55.83,55.83,27.4,47.69,2.3921
1,6,36,21.69,21.69,15.06,21.94,21.69,24.63,21.69,21.69,9.92,9.47,3.4567
1,7,37,18.06,18.06,6.85,3.95,18.06,21.66,18.06,18.06,9.53,6.18,4.0815
1,8,38,4.98,4.98,13.06,9.08,4.98,14.05,4.98,4.98,3.53,2.37,3.5027
1,9,39,19.12,19.12,28.42,62.83,19.12,24.84,19.12,19.12,15.64,16.36,2.5965
1,10,40,22.36,22.36,22.94,39.0,22.36,15.85,22.36,22.36,10.47,12.09,2.1837
1,11,41,18.23,18.23,7.89,6.98,18.23,24.82,18.23,18.23,9.54,6.25,3.2636
1,12,42,55.81,55.81,23.09,39.83,55.81,39.32,55.81,55.81,27.19,45.0,1.8758
1,13,43,18.24,18.24,19.75,17.83,18.24,25.06,18.24,18.24,10.21,6.32,3.3008
1,14,44,58.26,58.26,32.52,42.95,58.26,43.03,58.26,58.26,32.3,47.4,1.7697
1,15,45,18.23,18.23,7.74,5.07,18.23,24.79,18.23,18.23,10.03,6.36,3.8849
1,16,46,37.34,37.34,23.37,23.88,37.34,38.32,37.34,37.34,24.51,26.4,2.5524
1,17,47,37.46,37.46,29.98,41.39,37.46,39.86,37.46,37.46,25.07,25.55,2.4629
1,18,48,37.46,37.46,27.16,41.76,37.46,39.92,37.46,37.46,21.73,26.08,2.4795
1,19,49,37.49,37.49,27.4,42.26,37.49,39.94,37.49,37.49,21.78,26.15,2.4521
1,20,50,37.52,37.52,27.53,42.63,37.52,39.97,37.52,37.52,21.81,26.21,2.4868
1,21,51,55.78,55.78,31.5,44.5,55.78,47.12,55.78,55.78,33.75,46.85,2.4657
1,22,52,55.8,55.8,31.49,44.53,55.8,47.14,55.8,55.8,33.76,46.87,2.4885
1,23,53,55.87,55.87,31.57,44.66,55.87,47.19,55.87,55.87,33.85,46.98,2.5117
1,24,54,57.93,57.93,32.36,46.52,57.93,47.95,57.93,57.93,34.68,49.09,2.5401
1,25,55,58.14,58.14,32.32,46.56,58.14,48.05,58.14,58.14,34.72,49.22,2.5391
1,26,56,55.87,55.87,32.19,46.32,55.87,47.18,55.87,55.87,34.12,47.73,2.5569
1,27,57,55.9,55.9,32.21,46.33,55.9,47.18,55.9,55.9,34.14,47.75,2.5382
1,28,58,58.06,58.06,32.63,46.63,58.06,48.03,58.06,58.06,34.96,49.24,2.5431
1,29,59,58.13,58.13,32.64,46.65,58.13,48.06,58.13,58.13,34.99,49.29,2.5289
1,30,60,58.09,58.09,32.64,46.64,58.09,48.03,58.09,58.09,34.97,49.26,2.5448
2,1,61,1.45,1.45,1.97,4.38,1.45,5.28,1.45,1.45,0.23,0.09,3.6339
2,2,62,11.31,11.31,10.95,14.73,11.31,15.88,11.31,11.31,5.52,3.68,4.0802
2,3,63,32.75,32.75,11.44,24.9,32.75,22.9,32.75,32.75,12.5,25.94,3.4809
2,4,64,8.09,8.09,0.45,0.65,8.09,5.56,8.09,8.09,0.83,1.21,5.6704
2,5,65,8.09,8.09,0.45,0.65,8.09,5.56,8.09,8.09,0.83,1.21,5.5506
2,6,66,8.26,8.26,0.64,0.75,8.26,6.29,8.26,8.26,1.13,1.36,5.8623
2,7,67,8.09,8.09,0.45,0.65,8.09,5.56,8.09,8.09,0.83,1.21,4.6403
2,8,68,8.09,8.09,0.46,0.66,8.09,5.56,8.09,8.09,0.84,1.22,6.1187
2,9,69,8.09,8.09,0.89,1.63,8.09,5.56,8.09,8.09,0.83,1.21,4.92
2,10,70,11.08,11.08,6.32,7.07,11.08,11.84,11.08,11.08,5.77,3.6,6.8861
2,11,71,20.55,20.55,12.05,25.41,20.55,16.6,20.55,20.55,7.17,13.69,4.4321
2,12,72,8.1,8.1,6.49,12.91,8.1,5.87,8.1,8.1,1.21,1.23,6.0814
2,13,73,32.74,32.74,9.64,19.38,32.74,22.29,32.74,32.74,11.68,22.79,4.425
2,14,74,11.07,11.07,5.33,3.24,11.07,11.28,11.07,11.07,6.12,4.01,6.4307
2,15,75,35.81,35.81,12.84,18.67,35.81,27.56,35.81,35.81,15.46,22.85,4.6413
2,16,76,35.77,35.77,13.76,21.18,35.77,27.66,35.77,35.77,16.14,25.12,4.7149
2,17,77,35.87,35.87,14.29,21.1,35.87,29.08,35.87,35.87,17.36,25.11,4.6326
2,18,78,35.89,35.89,13.89,19.68,35.89,29.15,35.89,35.89,17.16,24.33,4.5727
2,19,79,35.89,35.89,13.92,19.55,35.89,29.31,35.89,35.89,17.25,24.25,4.5068
2,20,80,35.9,35.9,13.62,18.8,35.9,29.53,35.9,35.9,17.17,23.8,4.4341
2,21,81,35.9,35.9,13.79,19.09,35.9,29.77,35.9,35.9,17.38,23.99,4.3822
2,22,82,35.91,35.91,13.45,18.82,35.91,30.25,35.91,35.91,17.31,23.82,4.3251
2,23,83,35.92,35.92,13.48,18.98,35.92,30.22,35.92,35.92,17.3,23.91,4.3041
2,24,84,35.92,35.92,13.36,19.0,35.92,30.62,35.92,35.92,17.28,23.92,4.2647
2,25,85,35.92,35.92,13.42,19.21,35.92,30.58,35.92,35.92,17.3,24.04,4.2369
2,26,86,35.91,35.91,11.96,15.97,35.91,29.58,35.91,35.91,16.04,21.78,4.2887
2,27,87,46.51,46.51,17.98,28.25,46.51,34.58,46.51,46.51,21.51,33.01,3.1172
2,28,88,46.64,46.64,18.02,28.31,46.64,34.78,46.64,46.64,21.63,33.16,3.1497
2,29,89,46.61,46.61,18.04,28.3,46.61,34.99,46.61,46.61,21.72,33.15,3.2006
2,30,90,46.48,46.48,18.06,28.37,46.48,35.09,46.48,46.48,21.73,33.05,3.2478
3,1,91,0.53,0.53,3.98,0.75,0.53,5.57,0.53,0.53,0.54,0.09,6.1949
3,2,92,6.72,6.72,2.5,1.49,6.72,12.41,6.72,6.72,2.81,2.24,5.6777
3,3,93,7.34,7.34,1.15,0.68,7.34,10.25,7.34,7.34,1.58,1.13,5.1517
3,4,94,6.85,6.85,5.16,6.98,6.85,11.77,6.85,6.85,1.68,2.08,5.7497
3,5,95,21.46,21.46,3.67,9.66,21.46,15.73,21.46,21.46,5.09,12.45,5.5474
3,6,96,20.78,20.78,3.44,9.86,20.78,15.84,20.78,20.78,4.61,12.73,6.3892
3,7,97,19.31,19.31,5.44,11.77,19.31,15.38,19.31,19.31,5.17,13.45,5.9132
3,8,98,6.88,6.88,4.54,1.29,6.88,8.12,6.88,6.88,0.72,0.94,6.656
3,9,99,6.64,6.64,1.09,0.93,6.64,10.61,6.64,6.64,1.91,1.63,6.5151
3,10,100,6.97,6.97,1.01,0.91,6.97,5.2,6.97,6.97,1.3,0.97,6.5894
3,11,101,7.09,7.09,5.44,6.28,7.09,10.65,7.09,7.09,1.95,1.51,5.9583
3,12,102,13.99,13.99,6.09,9.25,13.99,12.21,13.99,13.99,3.46,10.66,6.1916
3,13,103,24.27,24.27,4.51,12.33,24.27,16.57,24.27,24.27,5.7,15.85,6.1059
3,14,104,14.01,14.01,6.3,9.32,14.01,12.58,14.01,14.01,3.65,10.63,7.2401
3,15,105,24.52,24.52,4.65,12.5,24.52,16.98,24.52,24.52,5.64,15.94,6.7729
3,16,106,24.4,24.4,3.37,9.01,24.4,18.25,24.4,24.4,4.64,12.81,6.5282
3,17,107,24.37,24.37,3.26,9.01,24.37,17.9,24.37,24.37,4.56,12.69,6.1577
3,18,108,24.37,24.37,3.23,9.0,24.37,17.78,24.37,24.37,4.54,12.68,6.0296
3,19,109,24.39,24.39,3.35,9.21,24.39,17.84,24.39,24.39,4.58,12.71,5.9416
3,20,110,24.39,24.39,3.31,9.12,24.39,17.84,24.39,24.39,4.6,12.7,5.8529
3,21,111,24.38,24.38,3.28,9.06,24.38,17.81,24.38,24.38,4.61,12.68,5.8356
3,22,112,24.38,24.38,3.28,9.03,24.38,17.83,24.38,24.38,4.61,12.68,5.7784
3,23,113,24.39,24.39,3.26,8.99,24.39,17.9,24.39,24.39,4.61,12.65,5.7207
3,24,114,24.4,24.4,3.22,8.91,24.4,17.97,24.4,24.4,4.62,12.63,5.6864
3,25,115,24.4,24.4,3.21,8.86,24.4,18.01,24.4,24.4,4.61,12.59,5.6341
3,26,116,24.55,24.55,3.28,8.96,24.55,18.3,24.55,24.55,4.68,12.64,5.5178
3,27,117,24.6,24.6,3.46,9.23,24.6,18.35,24.6,24.6,4.69,12.62,5.5024
3,28,118,24.61,24.61,3.63,9.5,24.61,18.38,24.61,24.61,4.69,12.61,5.4912
3,29,119,24.63,24.63,3.48,9.25,24.63,18.35,24.63,24.63,4.7,12.62,5.4863
3,30,120,24.63,24.63,3.33,9.01,24.63,18.32,24.63,24.63,4.7,12.62,5.4679
4,1,121,0.07,0.07,0.01,0.0,0.07,4.08,0.07,0.07,0.01,0.0,5.0794
4,2,122,6.06,6.06,0.39,0.37,6.06,5.37,6.06,6.06,0.72,0.7,6.8883
4,3,123,6.05,6.05,0.48,0.37,6.05,5.08,6.05,6.05,0.85,0.7,8.2771
4,4,124,6.02,6.02,0.4,0.37,6.02,4.42,6.02,6.02,0.7,0.69,8.4876
4,5,125,6.06,6.06,1.19,2.34,6.06,3.56,6.06,6.06,0.55,0.84,8.6801
