Round,Task,Loss,Accuracy,Micro_P,Micro_R,Micro_F1,Macro_P,Macro_R,Macro_F1,Weighted_P,Weighted_R,Weighted_F1,Macro_FPR
1,0,4.553774848916939,0.00957231402073496,0.00957231402073496,0.00957231402073496,0.00957231402073496,0.0011584711509126887,0.007463323008759584,0.002002680851175306,0.00145910435893631,0.00957231402073496,0.0025322088102884346,0.11190915484474515
2,0,6.473983275512684,0.0034348137464366153,0.0034348137464366153,0.0034348137464366153,0.0034348137464366153,0.0006009789911524116,0.16670782640932547,0.0011930575507454891,1.2315182585548775e-05,0.0034348137464366153,2.4465276881205308e-05,0.16666466477289985
3,0,8.370410858774232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714579817393
4,0,2.7425537715079638,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
5,0,4.3851612821472985,0.0034344147670259477,0.0034344147670259477,0.0034344147670259477,0.0034344147670259477,0.0005724065719828528,0.16666666666666666,0.0011408948098431337,1.1795289501363664e-05,0.0034344147670259477,2.3509835895291113e-05,0.16666666543874073
6,0,6.002164659992123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000023234697797
7,0,7.365709761847407,0.003446384149345973,0.003446384149345973,0.003446384149345973,0.003446384149345973,0.0007660353306933792,0.167591928642807,0.0014964700558823115,1.5104538023173939e-05,0.003446384149345973,2.959464145550352e-05,0.16666157407151225
8,0,6.278799048087239,0.003462742305183341,0.003462742305183341,0.003462742305183341,0.003462742305183341,0.0008459487949550715,0.1684337192340293,0.0016307621676131395,1.6441973924642706e-05,0.003462742305183341,3.184018132596426e-05,0.16665950964021845
9,0,7.773957634047886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285721575950566
10,0,3.745598715577837,0.00015440503192832734,0.00015440503192832734,0.00015440503192832734,0.00015440503192832734,2.5735630042138602e-05,0.16666666666666666,5.1463313439504676e-05,2.3842264670112187e-08,0.00015440503192832734,4.7677167328585416e-08,0.16666668941390375
11,0,5.318058887400332,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
12,0,6.844727373487019,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
13,0,6.111539522970797,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
14,0,4.585258550838868,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
15,0,6.154489450294009,0.0034344147670259477,0.0034344147670259477,0.0034344147670259477,0.0034344147670259477,0.0005725349503721012,0.16666666666666666,0.0011411498118388725,1.1797934929178473e-05,0.0034344147670259477,2.3515090591009833e-05,0.16666664217053803
16,0,7.208104644369127,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.00046720787239280256,0.16666666666666666,0.000931803668728279,7.85814489280061e-06,0.0028032293393499426,1.5672356296158157e-05,0.16666666413074285
17,0,3.5286067082017967,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
18,0,4.059958464286989,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0028032293393499426,0.0004672048898916571,0.16666666666666666,0.000931797737028536,7.858094728992317e-06,0.0028032293393499426,1.5672256528669646e-05,0.16666666666666602
19,0,1.3736704512177187,0.8615768863247812,0.8615768863247812,0.8615768863247812,0.8615768863247812,0.14414301120141915,0.16660702781731843,0.15456306137717854,0.7454084524727803,0.8615768863247812,0.799293780741301,0.1630947341041524
20,0,4.9901580984114124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01785714313108381
